"filename", "language", "Python", "Batch", "Markdown", "HTML", "JSON", "JSON with Comments", "XML", "CSV", "pip requirements", "comment", "blank", "total"
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\DicT01_2.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\DicTuple01.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\NewDic.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\NewDic_2.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\dialogueExportDSilHand_M10SilverHunt.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Sandbox\dialogueExportDSilHand_M80AssaultJor.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 59
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\AudioDemo.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 177
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\AudioPlayer.py", "Python", 140, 0, 0, 0, 0, 0, 0, 0, 0, 71, 43, 254
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\DemoPySimpleGuiTable.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 100
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\Demo_OpenCV_Simple_GUI.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 75
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\PySimpleTable.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 63
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\TestThreading.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 114
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\_main.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 45
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Test\audio\GridSample.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 46
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\build-app.bat", "Batch", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 1, 55
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\tests.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 51
"Total", "-", 4939, 5, 842, 1405, 2671, 12, 126, 305, 54, 1694, 1560, 13613
